Particle,Factor,E_vac_MeV,m_SFT_MeV,m_SFT_eV,m_SFT_meV,Status
nu1,0,2.251082189986465e-09,0.0,0.0,0.0,preliminary neutrino closure sequence
nu2,4,2.251082189986465e-09,9.00432875994586e-09,0.00900432875994586,9.00432875994586,preliminary neutrino closure sequence
nu3,24,2.251082189986465e-09,5.4025972559675155e-08,0.05402597255967515,54.025972559675154,preliminary neutrino closure sequence
